id,command,last_name,first_name,rank,shield_no,active
927214,010 PCT,MIYAMOTO,RICARDO,Police Officer,07759,false
927215,ESU,MOCCALDI,MICHAEL,Detective,00541,false
927216,SRG,MOCCIA,MICHAEL,Sergeant,03555,false
927218,P A T U,MOLTISANTI,DANIEL,Police Officer,00897,false
927219,P A T U,MONACELLI,BRIAN,Police Officer,29973,false
927220,INT PSS,MONAHAN,KENNETH,Sergeant,05088,false
927221,094 PCT,MONTALVO,ALEJANDRO,Police Officer,16521,false
927222,047 PCT,MONTANEZ,ALEXANDER,Police Officer,03973,false
927223,050 PCT,MONTERREY,JULIO,Police Officer,08343,false
927224,PROPCLK,DIAZMONTEZ,MARIA,Police Officer,17612,false
927225,SPL TRN,MONTGOMERY,THOMAS,Police Officer,23111,false
927226,P A T U,MOORE,JOHN,Police Officer,05296,false
927227,042 DET,MORALES,RAUL,Detective,00170,false
927228,TB INV,MORAN,JASON,Lieutenant,00000,false
927229,CENROBB,MORELLI,CHRISTOP,Detective,04510,false
927230,JVC TF,MORENO,MICHAEL,Detective,06730,false
927231,QAS,MORRILL,JULIE,Chiefs and other ranks,00000,true
927232,109 PCT,MORRIS,CHRISTOPHE,Police Officer,13643,false
927233,NBQS ZN 17,MORRISON,JACK,Captain,00000,false
927234,P A T U,MORRISON,KYLE,Police Officer,17725,false
927235,P A T U,HENDRIE,DANIEL,Police Officer,24610,false
927236,MN OP NIGHT,MORTIMER,JOHN,Detective,05900,false
927238,107 PCT,MULLANEY,DENIS,Deputy Inspector,00000,false
927239,H BX/Q,MULNARD,DEREK,Police Officer,10328,false
927240,P A T U,MULREIN,WILLIAM,Police Officer,08600,false
927241,MAN CT,MUNIZ,SYLVIA,Police Officer,12919,false
927242,MTN PCT,MUNROE,DENISE,Police Officer,24779,false
927243,PBQN,IMPERATO,MICHAEL,Police Officer,24617,true
927244,090 PCT,THOMPSON,BASHEEN,Police Officer,14279,false
927245,P A T U,MURPHY,JOHN,Police Officer,10335,false
927246,H BX/Q,DAMIAN,KIM,Police Officer,11043,false
